Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
20-Sep-25,8:00:25,T8958618,Cancelled by Customer,C3911549,Auto,Gurgaon Railway Station,Indraprastha,1,Change of plans,,,,,,,,,
05-Jan-25,18:56:50,T3777007,Cancelled by Customer,C3073720,Auto,Subhash Chowk,Narsinghpur,1,Change of plans,,,,,,,,,
25-Jan-25,23:00:07,T3032303,Cancelled by Customer,C9617129,Auto,Sikanderpur,Kherki Daula Toll,1,Change of plans,,,,,,,,,
08-Jan-25,16:21:41,T9553145,Cancelled by Customer,C3349967,Auto,Sikanderpur,Sadar Bazar Gurgaon,1,Change of plans,,,,,,,,,
14-Dec-25,10:05:22,T5426956,Cancelled by Customer,C9611088,Auto,Netaji Subhash Place,Jasola,1,Change of plans,,,,,,,,,
19-May-25,17:00:17,T3662425,Cancelled by Customer,C2741044,Auto,Badshahpur,Jama Masjid,1,Change of plans,,,,,,,,,
29-May-25,20:25:18,T3642552,Cancelled by Customer,C5864853,Auto,Narsinghpur,Saket A Block,1,Change of plans,,,,,,,,,
31-Aug-25,17:04:47,T3192482,Cancelled by Customer,C5235422,Auto,Akshardham,Jahangirpuri,1,Change of plans,,,,,,,,,
08-Aug-25,15:32:26,T8777756,Cancelled by Customer,C2940194,Auto,Munirka,Huda City Centre,1,Change of plans,,,,,,,,,
21-Nov-25,14:12:14,T8126078,Cancelled by Customer,C7024660,Auto,Mansarovar Park,Bhikaji Cama Place,1,Change of plans,,,,,,,,,
31-Mar-25,22:13:10,T6185047,Cancelled by Customer,C8010268,Auto,Bhiwadi,Udyog Vihar,1,Change of plans,,,,,,,,,
21-Oct-25,20:35:05,T8284979,Cancelled by Customer,C9106814,Auto,Rajiv Chowk,DLF Phase 3,1,Change of plans,,,,,,,,,
27-Aug-25,17:04:23,T7510540,Cancelled by Customer,C1101973,Auto,Panipat,Jor Bagh,1,Change of plans,,,,,,,,,
27-May-25,22:20:01,T7115044,Cancelled by Customer,C9712593,Auto,Munirka,GTB Nagar,1,Change of plans,,,,,,,,,
19-Jul-25,9:04:33,T1684862,Cancelled by Customer,C4918409,Auto,Gurgaon Sector 29,Civil Lines Gurgaon,1,Change of plans,,,,,,,,,
03-Mar-25,11:11:02,T1220548,Cancelled by Customer,C4229509,Auto,Tis Hazari,INA Market,1,Change of plans,,,,,,,,,
17-Apr-25,11:00:21,T5535321,Cancelled by Customer,C5224307,Auto,Old Gurgaon,Inderlok,1,Change of plans,,,,,,,,,
19-Sep-25,14:00:16,T1181877,Cancelled by Customer,C2179101,Auto,Mehrauli,Noida Film City,1,Change of plans,,,,,,,,,
26-Sep-25,16:06:41,T6463605,Cancelled by Customer,C5326015,Auto,Chhatarpur,Rohini East,1,Change of plans,,,,,,,,,
16-Jul-25,9:02:20,T9689336,Cancelled by Customer,C8111224,Auto,Udyog Bhawan,DLF Phase 3,1,Change of plans,,,,,,,,,
13-Jan-25,9:44:22,T4944732,Cancelled by Customer,C6039184,Auto,South Extension,Tagore Garden,1,Change of plans,,,,,,,,,
01-Oct-25,11:46:08,T1892425,Cancelled by Customer,C9160105,Auto,Karkarduma,Madipur,1,Change of plans,,,,,,,,,
01-Sep-25,17:40:41,T1955762,Cancelled by Customer,C6648807,Auto,Nirman Vihar,Mundka,1,Change of plans,,,,,,,,,
10-Aug-25,12:21:34,T6091989,Cancelled by Customer,C6355849,Auto,IFFCO Chowk,IIT Delhi,1,Change of plans,,,,,,,,,
22-May-25,4:40:37,T6049703,Cancelled by Customer,C3294638,Auto,Subhash Nagar,RK Puram,1,Change of plans,,,,,,,,,
10-Apr-25,10:50:58,T3228910,Cancelled by Customer,C7500087,Auto,Barakhamba Road,Adarsh Nagar,1,Change of plans,,,,,,,,,
15-Nov-25,23:02:05,T9054060,Cancelled by Customer,C6773586,Auto,Indirapuram,Maidan Garhi,1,Change of plans,,,,,,,,,
02-Oct-25,6:10:06,T2861076,Cancelled by Customer,C5512474,Auto,Botanical Garden,Shivaji Park,1,Change of plans,,,,,,,,,
30-Aug-25,18:58:26,T8806053,Cancelled by Customer,C2907636,Auto,Kherki Daula Toll,Botanical Garden,1,Change of plans,,,,,,,,,
04-Jun-25,20:32:34,T1780292,Cancelled by Customer,C6699556,Auto,Mandi House,Hero Honda Chowk,1,Change of plans,,,,,,,,,
13-Oct-25,11:39:34,T7457317,Cancelled by Customer,C5545034,Auto,Welcome,Cyber Hub,1,Change of plans,,,,,,,,,
03-Jun-25,18:14:28,T3342312,Cancelled by Customer,C2140298,Auto,Vaishali,Munirka,1,Change of plans,,,,,,,,,
28-May-25,21:13:21,T5211198,Cancelled by Customer,C9728579,Auto,South Extension,Ramesh Nagar,1,Change of plans,,,,,,,,,
30-May-25,10:35:27,T1579798,Cancelled by Customer,C3118099,Auto,Huda City Centre,Qutub Minar,1,Change of plans,,,,,,,,,
09-Sep-25,17:12:52,T9350153,Cancelled by Customer,C2866889,Auto,Sarai Kale Khan,Panipat,1,Change of plans,,,,,,,,,
24-Jul-25,15:09:08,T5741242,Cancelled by Customer,C5285297,Auto,Yamuna Bank,Moti Nagar,1,Change of plans,,,,,,,,,
08-Dec-25,20:04:34,T3477395,Cancelled by Customer,C4647415,Auto,Pragati Maidan,Peeragarhi,1,Change of plans,,,,,,,,,
27-Jul-25,10:21:25,T8709556,Cancelled by Customer,C2496089,Auto,Noida Film City,Noida Extension,1,Change of plans,,,,,,,,,
01-Aug-25,14:53:09,T5577631,Cancelled by Customer,C5645089,Auto,Tagore Garden,Samaypur Badli,1,Change of plans,,,,,,,,,
25-Aug-25,3:22:03,T6979271,Cancelled by Customer,C9250266,Auto,Jasola,Model Town,1,Change of plans,,,,,,,,,
02-Jun-25,21:11:12,T8961706,Cancelled by Customer,C9111829,Auto,Madipur,Ambience Mall,1,Change of plans,,,,,,,,,
07-Jun-25,16:33:31,T6857748,Cancelled by Customer,C4360815,Auto,IFFCO Chowk,Jor Bagh,1,Change of plans,,,,,,,,,
19-Oct-25,18:03:58,T2054235,Cancelled by Customer,C3335837,Auto,Ghitorni,Pitampura,1,Change of plans,,,,,,,,,
14-Jan-25,8:54:25,T5929673,Cancelled by Customer,C7748679,Auto,Ghaziabad,IGNOU Road,1,Change of plans,,,,,,,,,
19-May-25,19:43:54,T9670121,Cancelled by Customer,C4436018,Auto,DLF City Court,New Colony,1,Change of plans,,,,,,,,,
21-May-25,14:31:38,T5806798,Cancelled by Customer,C7097123,Auto,Noida Sector 18,Bahadurgarh,1,Change of plans,,,,,,,,,
28-Aug-25,16:37:14,T9638849,Cancelled by Customer,C3193322,Auto,Rohini West,GTB Nagar,1,Change of plans,,,,,,,,,
23-Mar-25,12:43:57,T9755852,Cancelled by Customer,C6682527,Auto,Moolchand,Pragati Maidan,1,Change of plans,,,,,,,,,
12-Nov-25,17:11:37,T5416634,Cancelled by Customer,C3571617,Auto,Mandi House,Udyog Vihar Phase 4,1,Change of plans,,,,,,,,,
13-Oct-25,14:11:58,T2443096,Cancelled by Customer,C4960875,Auto,Jor Bagh,Barakhamba Road,1,Change of plans,,,,,,,,,
06-Oct-25,6:18:21,T7721103,Cancelled by Customer,C4762634,Auto,Vidhan Sabha,Kashmere Gate ISBT,1,Change of plans,,,,,,,,,
30-Jul-25,8:59:34,T7137773,Cancelled by Customer,C9374088,Auto,Vatika Chowk,Bhikaji Cama Place,1,Change of plans,,,,,,,,,
02-May-25,5:54:45,T5862290,Cancelled by Customer,C5862509,Auto,Laxmi Nagar,Botanical Garden,1,Change of plans,,,,,,,,,
24-Jan-25,12:03:35,T7378116,Cancelled by Customer,C6215609,Auto,Tilak Nagar,Noida Extension,1,Change of plans,,,,,,,,,
03-Dec-25,9:25:47,T2201853,Cancelled by Customer,C6915548,Auto,Jhilmil,Ghitorni,1,Change of plans,,,,,,,,,
01-May-25,2:09:31,T8050082,Cancelled by Customer,C2458330,Auto,Panchsheel Park,Vasant Kunj,1,Change of plans,,,,,,,,,
15-Dec-25,16:08:30,T9791279,Cancelled by Customer,C3741227,Auto,Lal Quila,Panipat,1,Change of plans,,,,,,,,,
16-Aug-25,18:32:40,T7732407,Cancelled by Customer,C6925537,Auto,Samaypur Badli,Kadarpur,1,Change of plans,,,,,,,,,
21-Aug-25,16:19:34,T7777620,Cancelled by Customer,C3276663,Auto,Nirman Vihar,Noida Sector 18,1,Change of plans,,,,,,,,,
09-Oct-25,17:12:28,T2303174,Cancelled by Customer,C4128112,Auto,Ghitorni,Indirapuram,1,Change of plans,,,,,,,,,
19-Dec-25,18:59:43,T7379379,Cancelled by Customer,C2830513,Auto,Saket A Block,Udyog Vihar Phase 4,1,Change of plans,,,,,,,,,
15-Jun-25,22:38:47,T4943305,Cancelled by Customer,C9349568,Auto,Mandi House,Munirka,1,Change of plans,,,,,,,,,
12-Jul-25,13:50:51,T4374622,Cancelled by Customer,C3541384,Auto,Dilshad Garden,Green Park,1,Change of plans,,,,,,,,,
13-Aug-25,19:02:48,T4907643,Cancelled by Customer,C3527628,Auto,Faridabad Sector 15,Subhash Chowk,1,Change of plans,,,,,,,,,
19-Nov-25,15:26:39,T6559386,Cancelled by Customer,C6560609,Auto,Tilak Nagar,ITO,1,Change of plans,,,,,,,,,
08-Jun-25,13:09:39,T6939763,Cancelled by Customer,C3911478,Auto,Qutub Minar,Green Park,1,Change of plans,,,,,,,,,
10-Jun-25,21:46:47,T6782547,Cancelled by Customer,C2690154,Auto,Mayur Vihar,Uttam Nagar,1,Change of plans,,,,,,,,,
24-Nov-25,19:23:25,T4688608,Cancelled by Customer,C7448547,Auto,Vatika Chowk,Nirman Vihar,1,Change of plans,,,,,,,,,
16-Nov-25,18:37:55,T8345030,Cancelled by Customer,C2794821,Auto,Ashram,Mehrauli,1,Change of plans,,,,,,,,,
16-Aug-25,19:21:23,T7509824,Cancelled by Customer,C2269618,Auto,Saket A Block,Maidan Garhi,1,Change of plans,,,,,,,,,
19-Feb-25,21:32:04,T3187551,Cancelled by Customer,C4071548,Auto,Delhi Gate,Faridabad Sector 15,1,Change of plans,,,,,,,,,
21-Oct-25,21:36:53,T9212766,Cancelled by Customer,C7178702,Auto,Meerut,Munirka,1,Change of plans,,,,,,,,,
24-Jun-25,20:54:01,T5435533,Cancelled by Customer,C4776833,Auto,GTB Nagar,INA Market,1,Change of plans,,,,,,,,,
14-May-25,21:16:18,T7774656,Cancelled by Customer,C7566685,Auto,Udyog Bhawan,Subhash Nagar,1,Change of plans,,,,,,,,,
18-Mar-25,18:41:51,T1343233,Cancelled by Customer,C1825185,Auto,Lal Quila,ITO,1,Change of plans,,,,,,,,,
25-Oct-25,18:24:17,T6784555,Cancelled by Customer,C5383241,Auto,Moti Nagar,Udyog Vihar,1,Change of plans,,,,,,,,,
05-Apr-25,15:52:09,T3359389,Cancelled by Customer,C5458644,Auto,Seelampur,Rajiv Chowk,1,Change of plans,,,,,,,,,
17-Nov-25,12:57:07,T4632329,Cancelled by Customer,C9096622,Auto,Badshahpur,Nehru Place,1,Change of plans,,,,,,,,,
28-Sep-25,17:09:32,T9789880,Cancelled by Customer,C5709138,Auto,Ghitorni,Badshahpur,1,Change of plans,,,,,,,,,
09-May-25,10:58:35,T9294479,Cancelled by Customer,C4837775,Auto,Hauz Rani,Old Gurgaon,1,Change of plans,,,,,,,,,
04-Jul-25,11:33:43,T3700472,Cancelled by Customer,C5884615,Auto,Preet Vihar,ITO,1,Change of plans,,,,,,,,,
19-Feb-25,17:32:21,T8322138,Cancelled by Customer,C1949840,Auto,Shivaji Park,Moolchand,1,Change of plans,,,,,,,,,
05-Feb-25,18:20:17,T9231618,Cancelled by Customer,C5509185,Auto,Raj Nagar Extension,RK Puram,1,Change of plans,,,,,,,,,
06-Mar-25,11:54:51,T9684449,Cancelled by Customer,C6360337,Auto,Greater Kailash,Qutub Minar,1,Change of plans,,,,,,,,,
30-Dec-25,12:11:35,T6525820,Cancelled by Customer,C7394868,Auto,Lajpat Nagar,IFFCO Chowk,1,Change of plans,,,,,,,,,
14-Dec-25,22:31:28,T5360030,Cancelled by Customer,C9481125,Auto,Samaypur Badli,Shastri Park,1,Change of plans,,,,,,,,,
23-Aug-25,20:36:32,T8638520,Cancelled by Customer,C1763425,Auto,Central Secretariat,Adarsh Nagar,1,Change of plans,,,,,,,,,
21-Oct-25,12:51:02,T5936064,Cancelled by Customer,C1634806,Auto,RK Puram,Karol Bagh,1,Change of plans,,,,,,,,,
08-Nov-25,12:21:17,T5582672,Cancelled by Customer,C9753813,Auto,Hauz Rani,Maidan Garhi,1,Change of plans,,,,,,,,,
26-Jun-25,13:30:09,T1686605,Cancelled by Customer,C4212149,Auto,Uttam Nagar,Nehru Place,1,Change of plans,,,,,,,,,
02-May-25,23:07:29,T4255806,Cancelled by Customer,C4869984,Auto,New Colony,GTB Nagar,1,Change of plans,,,,,,,,,
27-May-25,20:15:31,T2019240,Cancelled by Customer,C7791892,Auto,Rajouri Garden,Vaishali,1,Change of plans,,,,,,,,,
29-Jun-25,12:47:58,T7748913,Cancelled by Customer,C6900597,Auto,Saket,Shivaji Park,1,Change of plans,,,,,,,,,
05-Dec-25,11:49:58,T4763174,Cancelled by Customer,C4937178,Auto,Rohini East,Shahdara,1,Change of plans,,,,,,,,,
25-Jan-25,19:38:16,T5544033,Cancelled by Customer,C6271310,Auto,Vidhan Sabha,Tughlakabad,1,Change of plans,,,,,,,,,
06-Apr-25,8:45:41,T1266817,Cancelled by Customer,C8818616,Auto,Delhi Gate,Keshav Puram,1,Change of plans,,,,,,,,,
29-Dec-25,13:50:13,T4737926,Cancelled by Customer,C5416299,Auto,Raj Nagar Extension,Barakhamba Road,1,Change of plans,,,,,,,,,
29-Jun-25,8:19:03,T8290512,Cancelled by Customer,C6715504,Auto,Gwal Pahari,Kadarpur,1,Change of plans,,,,,,,,,
23-Jun-25,14:11:53,T9695952,Cancelled by Customer,C4118775,Auto,Ardee City,Samaypur Badli,1,Change of plans,,,,,,,,,
21-Nov-25,17:21:05,T3975481,Cancelled by Customer,C7836765,Auto,Sultanpur,Vinobapuri,1,Change of plans,,,,,,,,,
29-Apr-25,23:48:10,T4474698,Cancelled by Customer,C4739309,Auto,Laxmi Nagar,Anand Vihar ISBT,1,Change of plans,,,,,,,,,
26-Dec-25,14:30:32,T9676195,Cancelled by Customer,C3408147,Auto,Jasola,Dwarka Sector 21,1,Change of plans,,,,,,,,,
22-Feb-25,6:08:46,T3704596,Cancelled by Customer,C5364453,Auto,IMT Manesar,Inderlok,1,Change of plans,,,,,,,,,
07-Jul-25,6:54:03,T4293542,Cancelled by Customer,C9671505,Auto,Bhikaji Cama Place,Cyber Hub,1,Change of plans,,,,,,,,,
25-May-25,8:06:31,T3919367,Cancelled by Customer,C9527727,Auto,Badshahpur,Kirti Nagar,1,Change of plans,,,,,,,,,
06-Dec-25,8:24:41,T9331571,Cancelled by Customer,C9737283,Auto,Chandni Chowk,Shastri Park,1,Change of plans,,,,,,,,,
25-Jun-25,15:53:19,T2076187,Cancelled by Customer,C5093850,Auto,Saket A Block,Ashram,1,Change of plans,,,,,,,,,
10-May-25,14:55:05,T9875153,Cancelled by Customer,C4519827,Auto,Ashok Park Main,ITO,1,Change of plans,,,,,,,,,
14-May-25,11:53:16,T9117202,Cancelled by Customer,C6299225,Auto,Rajouri Garden,Sushant Lok,1,Change of plans,,,,,,,,,
21-Apr-25,0:15:42,T6612795,Cancelled by Customer,C3356015,Auto,Rohini,Green Park,1,Change of plans,,,,,,,,,
14-May-25,11:37:57,T5547305,Cancelled by Customer,C8378248,Auto,Okhla,Tilak Nagar,1,Change of plans,,,,,,,,,
04-Nov-25,17:39:13,T9731749,Cancelled by Customer,C3862121,Auto,Bhikaji Cama Place,MG Road,1,Change of plans,,,,,,,,,
07-Feb-25,10:11:59,T6671745,Cancelled by Customer,C7419301,Auto,Sonipat,Lok Kalyan Marg,1,Change of plans,,,,,,,,,
28-Oct-25,17:09:04,T1634061,Cancelled by Customer,C7693333,Auto,Samaypur Badli,Inderlok,1,Change of plans,,,,,,,,,
12-Sep-25,11:28:07,T6689015,Cancelled by Customer,C4742040,Auto,Karkarduma,Narsinghpur,1,Change of plans,,,,,,,,,
12-Mar-25,12:28:23,T9169821,Cancelled by Customer,C3808451,Auto,ITO,Sushant Lok,1,Change of plans,,,,,,,,,
17-Mar-25,16:54:41,T6081752,Cancelled by Customer,C9897715,Auto,Faridabad Sector 15,Anand Vihar ISBT,1,Change of plans,,,,,,,,,
01-Feb-25,19:25:03,T1798397,Cancelled by Customer,C9950271,Auto,Mundka,Hauz Khas,1,Change of plans,,,,,,,,,
10-Mar-25,18:22:25,T2981591,Cancelled by Customer,C3668784,Auto,Udyog Vihar,Pitampura,1,Change of plans,,,,,,,,,
09-Nov-25,15:27:51,T3181716,Cancelled by Customer,C6714521,Auto,Jahangirpuri,Indirapuram,1,Change of plans,,,,,,,,,
01-Feb-25,8:20:11,T1338532,Cancelled by Customer,C7426098,Auto,Model Town,Janakpuri,1,Change of plans,,,,,,,,,
26-Mar-25,19:58:19,T7459897,Cancelled by Customer,C2257562,Auto,Laxmi Nagar,Indirapuram,1,Change of plans,,,,,,,,,
06-May-25,17:44:22,T7539931,Cancelled by Customer,C1537070,Auto,Hauz Khas,Tughlakabad,1,Change of plans,,,,,,,,,
07-Dec-25,20:37:19,T5977905,Cancelled by Customer,C3224915,Auto,IFFCO Chowk,Shivaji Park,1,Change of plans,,,,,,,,,
24-Jul-25,19:55:00,T7882126,Cancelled by Customer,C7597170,Auto,Kaushambi,Moti Nagar,1,Change of plans,,,,,,,,,
06-Mar-25,23:03:23,T9410030,Cancelled by Customer,C6980713,Auto,Model Town,Tis Hazari,1,Change of plans,,,,,,,,,
16-May-25,12:24:19,T4688698,Cancelled by Customer,C6727705,Auto,Chirag Delhi,Lal Quila,1,Change of plans,,,,,,,,,
03-Jun-25,19:20:48,T5029387,Cancelled by Customer,C2652175,Auto,Malviya Nagar,Vidhan Sabha,1,Change of plans,,,,,,,,,
17-Apr-25,23:55:55,T1357835,Cancelled by Customer,C4552026,Auto,Badshahpur,Patel Chowk,1,Change of plans,,,,,,,,,
21-May-25,8:46:48,T5238377,Cancelled by Customer,C8506913,Auto,IGI Airport,Indirapuram,1,Change of plans,,,,,,,,,
04-Sep-25,18:44:43,T2114997,Cancelled by Customer,C7908524,Auto,India Gate,Shastri Nagar,1,Change of plans,,,,,,,,,
04-Feb-25,10:59:57,T8638871,Cancelled by Customer,C5490895,Auto,Paschim Vihar,Ramesh Nagar,1,Change of plans,,,,,,,,,
04-Dec-25,7:51:58,T9274663,Cancelled by Customer,C2468103,Auto,IFFCO Chowk,Sonipat,1,Change of plans,,,,,,,,,
13-Oct-25,15:13:57,T5323161,Cancelled by Customer,C2556557,Auto,Munirka,Chandni Chowk,1,Change of plans,,,,,,,,,
19-May-25,22:02:49,T5994986,Cancelled by Customer,C5676728,Auto,Subhash Chowk,Saket,1,Change of plans,,,,,,,,,
07-Mar-25,13:00:25,T7083158,Cancelled by Customer,C1386793,Auto,Ambience Mall,Golf Course Road,1,Change of plans,,,,,,,,,
15-May-25,7:37:10,T1144044,Cancelled by Customer,C5859698,Auto,Laxmi Nagar,Saidulajab,1,Change of plans,,,,,,,,,
03-Dec-25,11:59:14,T5211078,Cancelled by Customer,C8514246,Auto,IGI Airport,Saidulajab,1,Change of plans,,,,,,,,,
02-Apr-25,20:47:44,T2535704,Cancelled by Customer,C2716314,Auto,Khandsa,Kanhaiya Nagar,1,Change of plans,,,,,,,,,
09-Jul-25,5:43:44,T1055364,Cancelled by Customer,C3400619,Auto,Pragati Maidan,Model Town,1,Change of plans,,,,,,,,,
10-Apr-25,10:49:13,T3523677,Cancelled by Customer,C3553545,Auto,Hero Honda Chowk,INA Market,1,Change of plans,,,,,,,,,
13-Jun-25,16:56:39,T6760592,Cancelled by Customer,C7710274,Auto,Sarai Kale Khan,Rohini,1,Change of plans,,,,,,,,,
19-Jun-25,9:38:39,T8439500,Cancelled by Customer,C3747698,Auto,Sadar Bazar Gurgaon,Noida Sector 18,1,Change of plans,,,,,,,,,
17-Sep-25,15:46:31,T1392296,Cancelled by Customer,C4765346,Auto,Kirti Nagar,Huda City Centre,1,Change of plans,,,,,,,,,
08-Dec-25,19:29:51,T7948731,Cancelled by Customer,C9366135,Auto,Botanical Garden,Shahdara,1,Change of plans,,,,,,,,,
21-Apr-25,18:25:40,T7012039,Cancelled by Customer,C9428605,Auto,Akshardham,Ardee City,1,Change of plans,,,,,,,,,
19-Sep-25,1:51:14,T1073521,Cancelled by Customer,C6941190,Auto,Mundka,Ambience Mall,1,Change of plans,,,,,,,,,
22-Jun-25,11:28:29,T5560931,Cancelled by Customer,C8879015,Auto,Preet Vihar,RK Puram,1,Change of plans,,,,,,,,,
07-Aug-25,12:21:32,T2418550,Cancelled by Customer,C6084720,Auto,Green Park,Inderlok,1,Change of plans,,,,,,,,,
15-Jan-25,12:32:28,T7156576,Cancelled by Customer,C4228133,Auto,ITO,Dwarka Mor,1,Change of plans,,,,,,,,,
17-Sep-25,13:15:54,T5590004,Cancelled by Customer,C6981604,Auto,Saket,Huda City Centre,1,Change of plans,,,,,,,,,
17-Aug-25,23:36:56,T3896093,Cancelled by Customer,C4224430,Auto,Lok Kalyan Marg,Bhikaji Cama Place,1,Change of plans,,,,,,,,,
21-Mar-25,18:47:09,T5105598,Cancelled by Customer,C9219107,Auto,Noida Sector 18,Keshav Puram,1,Change of plans,,,,,,,,,
21-Jul-25,21:51:57,T4176827,Cancelled by Customer,C9017287,Auto,Pitampura,Jahangirpuri,1,Change of plans,,,,,,,,,
31-Jan-25,10:24:50,T2028591,Cancelled by Customer,C1951226,Auto,Rajiv Nagar,Aya Nagar,1,Change of plans,,,,,,,,,
25-Feb-25,16:34:51,T3866671,Cancelled by Customer,C8071335,Auto,Rajouri Garden,Rithala,1,Change of plans,,,,,,,,,
07-Jun-25,17:19:55,T7431399,Cancelled by Customer,C8713455,Auto,Sohna Road,IMT Manesar,1,Change of plans,,,,,,,,,
16-Jul-25,15:19:21,T3254358,Cancelled by Customer,C7172535,Auto,Rajiv Chowk,Yamuna Bank,1,Change of plans,,,,,,,,,
29-Apr-25,14:45:06,T5058521,Cancelled by Customer,C7985660,Auto,Sohna Road,Huda City Centre,1,Change of plans,,,,,,,,,
25-May-25,17:22:32,T3585903,Cancelled by Customer,C2082596,Auto,Seelampur,Anand Vihar,1,Change of plans,,,,,,,,,
05-Aug-25,18:43:23,T1099394,Cancelled by Customer,C8262729,Auto,Manesar,Old Gurgaon,1,Change of plans,,,,,,,,,
